Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
403.gcc-16B,nopref,0.37789,10195673,4864186,2303891,3027596,1
403.gcc-16B,spp,0.48318,9667287,2396769,2237918,2130141,1
403.gcc-16B,bingo,0.59198,14017203,993525,1991023,2478389,1
403.gcc-16B,mlop,0.54132,11139190,1512870,2032149,2095590,1
403.gcc-16B,pythia,0.5507,11777096,1464562,1960254,2999903,1
403.gcc-16B,nopref_MTPS150,0.18963,10186939,4866855,2300081,3020003,1
403.gcc-16B,spp_MTPS150,0.18836,9730784,2562290,2262585,2193542,1
403.gcc-16B,bingo_MTPS150,0.14492,14103342,1121993,2064233,2570277,1
403.gcc-16B,mlop_MTPS150,0.17178,11180745,1595804,2074208,2144468,1
403.gcc-16B,pythia_MTPS150,0.17621,11771858,1453945,2009322,2989354,1
403.gcc-16B,nopref_MTPS300,0.28076,10188688,4866270,2300895,3021523,1
403.gcc-16B,spp_MTPS300,0.30312,9724771,2521179,2261789,2187878,1
403.gcc-16B,bingo_MTPS300,0.25698,14090570,1084585,2054695,2561417,1
403.gcc-16B,mlop_MTPS300,0.29707,11172964,1561178,2073408,2145148,1
403.gcc-16B,pythia_MTPS300,0.30322,11682399,1520380,1969603,2979933,1
403.gcc-16B,nopref_MTPS600,0.3352,10188764,4863507,2303270,3021987,1
403.gcc-16B,spp_MTPS600,0.40008,9705689,2432242,2257913,2170245,1
403.gcc-16B,bingo_MTPS600,0.39844,14061638,1046572,2032919,2531465,1
403.gcc-16B,mlop_MTPS600,0.42363,11164005,1534049,2066059,2133404,1
403.gcc-16B,pythia_MTPS600,0.42796,11733147,1484852,1978386,2989711,1
403.gcc-16B,nopref_MTPS1200,0.36536,10192755,4865645,2302396,3024714,1
403.gcc-16B,spp_MTPS1200,0.45841,9684817,2411615,2250624,2148449,1
403.gcc-16B,bingo_MTPS1200,0.5288,14034016,1010026,2012710,2504195,1
403.gcc-16B,mlop_MTPS1200,0.50568,11148559,1519618,2055933,2114923,1
403.gcc-16B,pythia_MTPS1200,0.51316,11742120,1479948,2114527,3001979,1
403.gcc-16B,nopref_MTPS4800,0.38272,10190509,4865336,2301756,3023417,1
403.gcc-16B,spp_MTPS4800,0.49297,9656513,2390151,2230486,2118811,1
403.gcc-16B,bingo_MTPS4800,0.61433,14011274,983548,1978962,2471339,1
403.gcc-16B,mlop_MTPS4800,0.55466,11115070,1514897,2027017,2082666,1
403.gcc-16B,pythia_MTPS4800,0.56748,11767478,1472087,1969204,3010473,1
403.gcc-16B,nopref_MTPS9600,0.3842,10194599,4865539,2302134,3026926,1
403.gcc-16B,spp_MTPS9600,0.49511,9656620,2390242,2230543,2119392,1
403.gcc-16B,bingo_MTPS9600,0.61755,14011917,983866,1978727,2471758,1
403.gcc-16B,mlop_MTPS9600,0.55746,11125998,1514926,2028748,2089096,1
403.gcc-16B,pythia_MTPS9600,0.57256,11716420,1479363,1971155,2994563,1
